zinc_id,smiles
ZINC001848444453,NC[C@H](O)c1cc(Br)cc2cccnc12
ZINC001848444452,Cc1nnc(-c2ccc(B(O)O)cc2C(F)(F)CNC(=O)OC(C)(C)C)s1
ZINC001848444451,CNC(=O)[C@@]1(C)C[C@H](N)C(F)(F)C1
ZINC001848444450,CC(C)(C)[Si](C)(C)OCCCc1cc(Br)cc2cccnc12
ZINC001848444449,CCOC(=O)c1cn(C(c2ccccc2)(c2ccccc2)c2ccccc2)c([Sn](C(C)(C)C)(C(C)(C)C)C(C)(C)C)n1
ZINC001848444448,CCOC(=O)/C=C/c1cc(Br)cc2cccnc12
ZINC001848444447,Cc1[nH]c2c(O)cc([N+](=O)[O-])cc2c1C(=O)O
ZINC001848444446,COc1cc([N+](=O)[O-])cc2c(C(=O)O)c(C)[nH]c12
ZINC001848444445,COc1cc([N+](=O)[O-])cc2c(C(=O)O)c[nH]c12
ZINC001848444444,CCc1cc2c(C(=O)O)[nH]nc2nc1C
ZINC001848444443,CC(=O)O[C@@H]1NC[C@@]12CCCN(C(=O)OC(C)(C)C)C2
ZINC001848444442,CC(=O)O[C@H]1NC[C@]12CCCN(C(=O)OC(C)(C)C)C2
ZINC001848444441,CC(=O)O[C@@H]1NC[C@]12CCCN(C(=O)OC(C)(C)C)C2
ZINC001848444440,CC(=O)O[C@H]1NC[C@@]12CCCN(C(=O)OC(C)(C)C)C2
ZINC001848444439,Cc1nc2ncc(B3OC(C)(C)C(C)(C)O3)cn2n1
ZINC001848444438,CC(C)(O)c1ccc(OCC(F)(F)F)n2nc(Br)nc12
ZINC001848444437,Cc1ccc(OCC(F)(F)F)n2nc(Br)nc12
ZINC001848444436,FC(F)(F)COc1cccc2nc(Br)nn12
ZINC001848444435,COc1cc(Br)cn2ncnc12
ZINC001848444434,COc1cc(B2OC(C)(C)C(C)(C)O2)cn2ncnc12
ZINC001848444433,C[C@H](Oc1ccc(C(C)(C)O)c2nc(Br)nn12)C(F)(F)F
ZINC001848444432,CC(C)(C)OC(=O)N[C@@H](CO)C1COC1
ZINC001848444431,CC(C)(C)OC(=O)N[C@H](CO)C1COC1
ZINC001848444430,COC(=O)[C@@]1(NC(=O)OC(C)(C)C)C[C@]12CCNC2
ZINC001848444429,COC(=O)[C@]1(NC(=O)OC(C)(C)C)C[C@]12CCNC2
ZINC001848444428,COC(=O)[C@@]1(NC(=O)OC(C)(C)C)C[C@@]12CCNC2
ZINC001848444427,COC(=O)[C@]1(NC(=O)OC(C)(C)C)C[C@@]12CCNC2
ZINC001848444426,O=C[C@@H](Cl)CC1CCNCC1
ZINC001848444425,O=C[C@H](Cl)CC1CCNCC1
ZINC001848444424,CCC1=C(C(=O)O)CNC1
ZINC001848444423,COC(=O)[C@@H]1[C@@H]2CNC[C@H]2[C@H]1NC(=O)OC(C)(C)C
ZINC001848444422,COC(=O)[C@@H]1[C@@H]2CNC[C@@H]2[C@H]1NC(=O)OC(C)(C)C
ZINC001848444421,COC(=O)[C@H]1[C@@H](NC(=O)OC(C)(C)C)[C@H]2CNC[C@H]21
ZINC001848444420,COC(=O)[C@H]1[C@@H](NC(=O)OC(C)(C)C)[C@@H]2CNC[C@H]21
ZINC001848444419,CCOC(=O)C1=C(CC)CN(C(=O)OC(C)(C)C)C1
ZINC001848444418,CC(C)(C)OC(=O)NC1CCC2(CCC[C@@H](C(=O)O)C2)CC1
ZINC001848444417,CC(C)(C)OC(=O)NC1CCC2(CCC[C@H](C(=O)O)C2)CC1
ZINC001848444416,CC(C)(C)OC(=O)N1C[C@]2(C)CNCC[C@H]12
ZINC001848444415,CC(C)(C)OC(=O)N1C[C@@]2(C)CNCC[C@@H]12
ZINC001848444414,O=C[C@@H](Cl)CC1CCOCC1
ZINC001848444413,O=C[C@H](Cl)CC1CCOCC1
ZINC001848444412,COC(=O)[C@@H]1CC2(CNC2)CN1C(=O)OC(C)(C)C
ZINC001848444411,COC(=O)[C@H]1CC2(CNC2)CN1C(=O)OC(C)(C)C
ZINC001848444410,CC(C)(C)OC(=O)N1CC(C#N)(SC(F)(F)F)C1
ZINC001848444409,OCC[C@@H]1C[C@@H](C(F)(F)F)C1
ZINC001848444408,COC(=O)[C@@H]1CC2(CNC2)[C@@H]1NC(=O)OC(C)(C)C
ZINC001848444407,COC(=O)[C@H]1CC2(CNC2)[C@H]1NC(=O)OC(C)(C)C
ZINC001848444406,COC(=O)[C@H]1CC2(CNC2)[C@@H]1NC(=O)OC(C)(C)C
ZINC001848444405,COC(=O)[C@@H]1CC2(CNC2)[C@H]1NC(=O)OC(C)(C)C
ZINC001848444404,N#Cc1ccc2nn(CC(F)(F)F)cc2c1
ZINC001848444401,COC(=O)C12CC([B-](F)(F)F)(C1)C2
ZINC001848444403,COC(=O)[C@@H]1C[C@]2(CCNC2)[C@@H]1NC(=O)OC(C)(C)C
ZINC001848444402,COC(=O)[C@@H]1C[C@@]2(CCNC2)[C@H]1NC(=O)OC(C)(C)C
ZINC001848444400,COC(=O)[C@@H]1C[C@@]2(CCNC2)[C@@H]1NC(=O)OC(C)(C)C
ZINC001848444399,O[C@@H]1C[C@H]2[C@@H](C1)[C@@H]2OCc1ccccc1
ZINC001848444398,COC(=O)[C@@H]1C[C@]2(CCNC2)[C@H]1NC(=O)OC(C)(C)C
ZINC001848444395,O[C@@H]1C[C@@H]2[C@H](OCc3ccccc3)[C@@H]2C1
ZINC001848444397,COC(=O)C1C[C@H]2C[C@@H](C1)N2
ZINC001848444396,COC(=O)[C@H]1[C@H](NC(=O)OC(C)(C)C)CC12CNC2
ZINC001848444394,COC(=O)[C@@H]1[C@@H](NC(=O)OC(C)(C)C)CC12CNC2
ZINC001848444393,COc1nc(CC(F)F)ccc1Br
ZINC001848444391,Cc1[nH]c2ncnc(Cl)c2c1C(=O)O
ZINC001848444392,COC(=O)[C@H]1[C@@H](NC(=O)OC(C)(C)C)CC12CNC2
ZINC001848444390,COC(=O)[C@@H]1[C@H](NC(=O)OC(C)(C)C)CC12CNC2
ZINC001848444389,O=C(OCc1ccccc1)N1C[C@@H](O)[C@H]1O
ZINC001848444388,CCC1=C(C(=O)O)CN(C(=O)OC(C)(C)C)C1
ZINC001848444387,Nc1nc(CC(F)(F)F)ccc1Br
ZINC001848444386,OCCC1CC2(C1)CC(F)(F)C2
ZINC001848444384,COc1ccc(CN(Cc2ccc(OC)cc2)S(=O)(=O)c2nn(C)c(C)c2I)cc1
ZINC001848444385,CC(C)(C)OC(=O)N1CC[C@H]2CNC[C@@]2(C)C1
ZINC001848444380,CN1C[C@@H]2CNC[C@]2(F)C1
ZINC001848444383,CC[C@H]1[C@@H](C(=O)O)NC[C@@H]1O
ZINC001848444382,CC(C)(C)OC(=O)N1C[C@@H]2CNC(=O)C(C)(C)[C@@H]2C1
ZINC001848444381,N[C@@H]1CC[C@]2(C1)C(=O)NC[C@@H]2F
