Name,smiles,MolecularWeight
N#Cc1cccc(B(c2ccccc2)c2ccc(Cl)cc2)c1,[B](c1ccccc1)(c1ccc(Cl)cc1)(c1cc(C#N)ccc1),301.58
N#Cc1cccc(B(c2ccc(F)cc2)c2ccc(Cl)cc2)c1,[B](c1ccc(F)cc1)(c1ccc(Cl)cc1)(c1cc(C#N)ccc1),319.58
Cc1ccc(C)c(B(c2cc(C)ccc2C)c2ccccc2F)c1,[B](c1cc(C)ccc1C)(c1cc(C)ccc1C)(c1ccccc1F),316.23
Cc1ccc(B(c2ccc(CCl)cc2)c2cccc(C#N)c2)cc1,[B](c1ccc(C)cc1)(c1cc(C#N)ccc1)(c1ccc(CCl)cc1),329.64
c1ccc(B(c2ccccc2)c2ccccc2)cc1,[B](c1ccccc1)(c1ccccc1)(c1ccccc1),242.13
Fc1ccccc1B(c1ccc(Cl)cc1)c1ccc(CCl)cc1,[B](c1ccc(Cl)cc1)(c1ccccc1F)(c1ccc(CCl)cc1),343.04
Cc1ccc(B(c2ccc(Cl)cc2)c2ccc(Cl)cc2)cc1,[B](c1ccc(Cl)cc1)(c1ccc(Cl)cc1)(c1ccc(C)cc1),325.05
Fc1ccc(B(c2ccc(Cl)cc2)c2ccc(CCl)cc2)cc1,[B](c1ccc(F)cc1)(c1ccc(Cl)cc1)(c1ccc(CCl)cc1),343.04
Cc1ccc(B(c2ccc(C)cc2)c2ccc(C(=O)O)cc2)cc1,[B](c1ccc(C)cc1)(c1ccc(C)cc1)(c1ccc(C(=O)O)cc1),314.19
Cc1ccc(C)c(B(c2ccccc2)c2cc(C)ccc2C)c1,[B](c1ccccc1)(c1cc(C)ccc1C)(c1cc(C)ccc1C),298.24
Cc1ccc(C)c(B(c2ccc(F)cc2)c2ccc(Cl)cc2)c1,[B](c1ccc(F)cc1)(c1ccc(Cl)cc1)(c1cc(C)ccc1C),322.62
Cc1ccc(C)c(B(c2ccc(Cl)cc2)c2ccc(Cl)cc2)c1,[B](c1ccc(Cl)cc1)(c1ccc(Cl)cc1)(c1cc(C)ccc1C),339.07
Cc1ccc(B(c2ccc(F)cc2)c2cccc(C#N)c2)cc1,[B](c1ccc(F)cc1)(c1ccc(C)cc1)(c1cc(C#N)ccc1),299.16
Cc1ccc(B(c2ccc(F)cc2)c2ccc(C(=O)O)cc2)cc1,[B](c1ccc(F)cc1)(c1ccc(C)cc1)(c1ccc(C(=O)O)cc1),318.16
O=C(O)c1ccc(B(c2ccc(F)cc2)c2ccc(C(=O)O)cc2)cc1,[B](c1ccc(F)cc1)(c1ccc(C(=O)O)cc1)(c1ccc(C(=O)O)cc1),348.14
Cc1ccc(C)c(B(c2ccc(CCl)cc2)c2cc(C)ccc2C)c1,[B](c1cc(C)ccc1C)(c1cc(C)ccc1C)(c1ccc(CCl)cc1),346.71
Clc1ccc(B(c2ccccc2)c2ccc(Cl)cc2)cc1,[B](c1ccccc1)(c1ccc(Cl)cc1)(c1ccc(Cl)cc1),311.02
Cc1ccc(B(c2ccc(CCl)cc2)c2ccc(CCl)cc2)cc1,[B](c1ccc(C)cc1)(c1ccc(CCl)cc1)(c1ccc(CCl)cc1),353.1
N#Cc1cccc(B(c2ccc(CCl)cc2)c2ccccc2F)c1,[B](c1cc(C#N)ccc1)(c1ccccc1F)(c1ccc(CCl)cc1),333.6
O=C(O)c1ccc(B(c2ccc(C(=O)O)cc2)c2ccccc2F)cc1,[B](c1ccc(C(=O)O)cc1)(c1ccc(C(=O)O)cc1)(c1ccccc1F),348.14
